assignee,dt,asset_provider_name,asset_name,disposer_name,n_case,n_dt,assign_amt_principal,repaid_amt
,2022-06-01,挖财,信喜资产,汉法通-杭州汉资-合肥方飞,30033,1,1.5601467985000005E8,
,2022-06-01,挖财,信喜资产,汉法通-杭州汉资-出售,20753,1,1.2046051195999983E8,
,2022-06-01,PH,普惠资产,AMD_笑康,111,1,211551.62,
,2022-06-01,挖财,信喜资产,AMD_众信强诚,1396,1,2326286.32,
,2022-06-01,挖财,信喜资产,AMD_柏胜,380,1,894103.86,
,2022-06-01,信用家,信用家资产,固安玖盛,5,1,204881.97,
,2022-06-01,信喜,信喜资产,湖南银曜_WW,22,1,200420.31,
,2022-06-01,WACAI,普惠资产,A-璟昊-WW,2,1,1423.3700000000001,
,2022-06-01,WACAI,普惠资产,A-湖南京希-WW,1,1,756.32,
,2022-06-01,挖财,信喜资产,青岛恺翔_XH,13,1,76323.43,
,2022-06-01,挖财普惠,普惠资产,AMD_巨烈_XH,161,1,277155.83,
,2022-06-01,WACAI,普惠资产,惠今,119,1,142527.21,
,2022-06-01,挖财,信喜资产,海阳市法院-上海百亨-崇嵘科技,42,1,414397.91,
,2022-06-01,信用家,信用家资产,AMD_赫诚,13,1,122735.31999999999,
,2022-06-01,信喜,信喜资产,桓仁鑫德企业管理咨询有限公司,29,1,234344.87,
,2022-06-01,WACAI,普惠资产,A-律军-WW,3,1,5114.21,
,2022-06-01,点融平台,DIANRONG_AUTO,自动化运营,1967,1,1.1258562079000024E8,
,2022-06-01,挖财,信喜资产,AMD_优腾,138,1,232233.38999999996,
,2022-06-01,WACAI,力蕴资产,武汉时穆,48,1,493065.5700000001,
,2022-06-01,普惠达飞,平安普惠立信达飞资产包,A-卫信普众-WW,6939,1,5.692695295E7,
,2022-06-01,美利,有用资产,AMD_停催,37,1,56556.67000000002,
,2022-06-01,挖财,信喜资产,北海法院,185,1,2687878.46,
,2022-06-01,挖财,信喜资产,县法院-道简,1250,1,6376879.08,
,2022-06-01,挖财,信喜资产,AMD_赫诚,372,1,750658.1199999998,
,2022-06-01,挖财,信喜资产,AMD_睿讯,17,1,30003.61,
,2022-06-01,信用家,信用家资产,A-卫诚-WW,14,1,510985.46,
,2022-06-01,挖财,信喜资产,A-晟楠-XH,27,1,68746.12000000001,
